Satırlar|||Adana-1|Adıyaman-2|Afyonkarahisar-3|Aksaray-68|Amasya-5|Ankara-6|Antalya-7|Ardahan-75|Artvin-8|Aydın-9|Ağrı-4|Balıkesir-10|Bartın-74|Batman-72|Bayburt-69|Bilecik-11|Bingöl-12|Bitlis-13|Bolu-14|Burdur-15|Bursa-16|Denizli-20|Diyarbakır-21|Düzce-81|Edirne-22|Elazığ-23|Erzincan-24|Erzurum-25|Eskişehir-26|Gaziantep-27|Giresun-28|Gümüşhane-29|Hakkari-30|Hatay-31|Isparta-32|Iğdır-76|Kahramanmaraş-46|Karabük-78|Karaman-70|Kars-36|Kastamonu-37|Kayseri-38|Kilis-79|Kocaeli-41|Konya-42|Kütahya-43|Kırklareli-39|Kırıkkale-71|Kırşehir-40|Malatya-44|Manisa-45|Mardin-47|Mersin-33|Muğla-48|Muş-49|Nevşehir-50|Niğde-51|Ordu-52|Osmaniye-80|Rize-53|Sakarya-54|Samsun-55|Siirt-56|Sinop-57|Sivas-58|Tekirdağ-59|Tokat-60|Trabzon-61|Tunceli-62|Uşak-64|Van-65|Yalova-77|Yozgat-66|Zonguldak-67|Çanakkale-17|Çankırı-18|Çorum-19|İstanbul-34|İzmir-35|Şanlıurfa-63|Şırnak-73|
||2019|18856.0|6081.0|5610.0|3468.0|2279.0|39647.0|17907.0|797.0|960.0|7156.0|5856.0|7329.0|1172.0|6957.0|541.0|1427.0|2459.0|3728.0|1987.0|1700.0|22077.0|7306.0|17881.0|2709.0|2197.0|4451.0|1484.0|6632.0|5570.0|21051.0|2650.0|1049.0|3146.0|15093.0|2956.0|1917.0|10958.0|1499.0|1966.0|2699.0|2281.0|11973.0|1371.0|14531.0|18568.0|3682.0|2003.0|1872.0|1714.0|6738.0|10203.0|9104.0|14863.0|6074.0|4728.0|2214.0|3016.0|4949.0|4955.0|2110.0|7420.0|9663.0|3937.0|1286.0|4727.0|7357.0|4591.0|5352.0|337.0|2474.0|12359.0|1789.0|3150.0|3852.0|2921.0|1149.0|3704.0|110255.0|27257.0|23405.0|6239.0|
|Cinsiyeti:Erkek ve Yaş:15|2017|18051.0|5816.0|5489.0|3379.0|2283.0|37625.0|16294.0|787.0|1036.0|6969.0|6804.0|7245.0|1281.0|6986.0|650.0|1364.0|2386.0|4091.0|1947.0|1624.0|20901.0|7131.0|18252.0|2777.0|2060.0|4695.0|1653.0|7183.0|5233.0|18688.0|3047.0|1248.0|3205.0|13773.0|2880.0|1995.0|10814.0|1528.0|1947.0|2730.0|2223.0|11111.0|1190.0|13971.0|17656.0|3690.0|1911.0|2029.0|1717.0|6426.0|9624.0|9368.0|14164.0|5578.0|5149.0|2221.0|2992.0|5517.0|4699.0|2326.0|7675.0|9989.0|4064.0|1311.0|4868.0|6933.0|4753.0|5486.0|347.0|2430.0|13109.0|1725.0|3327.0|4002.0|2872.0|1205.0|3859.0|106687.0|25919.0|22799.0|6433.0|
||2018|17723.0|5903.0|5319.0|3219.0|2231.0|37554.0|16941.0|818.0|1031.0|6811.0|6311.0|7218.0|1212.0|6786.0|574.0|1369.0|2186.0|3896.0|1832.0|1654.0|20891.0|6897.0|17464.0|2604.0|2067.0|4522.0|1498.0|6960.0|5295.0|19327.0|2912.0|1068.0|3207.0|14314.0|2857.0|2032.0|10684.0|1412.0|1853.0|2611.0|2153.0|11032.0|1254.0|13804.0|17601.0|3673.0|1900.0|1986.0|1560.0|6451.0|9580.0|8795.0|13874.0|5664.0|5090.0|2182.0|3027.0|5422.0|4591.0|2227.0|7437.0|9904.0|3783.0|1286.0|4829.0|7070.0|4541.0|5425.0|382.0|2333.0|12689.0|1725.0|3283.0|3933.0|2792.0|1289.0|3687.0|105118.0|25708.0|22419.0|6084.0|
||2019|17706.0|5685.0|5544.0|3406.0|2253.0|38274.0|17676.0|742.0|958.0|7090.0|6121.0|7312.0|1271.0|6720.0|607.0|1463.0|2483.0|3757.0|1985.0|1672.0|21701.0|7311.0|17945.0|2658.0|2107.0|4695.0|1534.0|6946.0|5334.0|19531.0|2781.0|1060.0|3072.0|14428.0|2884.0|1944.0|10829.0|1486.0|1912.0|2549.0|2312.0|11507.0|1313.0|13967.0|18319.0|3675.0|1957.0|1867.0|1659.0|6414.0|9997.0|9147.0|14250.0|5998.0|4731.0|2273.0|2992.0|5120.0|4909.0|2254.0|7391.0|9829.0|3840.0|1437.0|4631.0|7227.0|4507.0|5332.0|347.0|2504.0|12968.0|1735.0|3287.0|3928.0|2863.0|1113.0|3653.0|109270.0|26614.0|22839.0|6250.0|
|Cinsiyeti:Erkek ve Yaş:16|2017|19560.0|6262.0|5838.0|3596.0|2467.0|40756.0|17713.0|899.0|1122.0|7647.0|6773.0|7890.0|1324.0|7242.0|656.0|1545.0|2639.0|4189.0|2027.0|1935.0|22587.0|7600.0|18800.0|3096.0|2323.0|4847.0|1682.0|7483.0|5703.0|20260.0|3255.0|1333.0|3239.0|15029.0|3050.0|2141.0|11509.0|1658.0|2097.0|2825.0|2411.0|11995.0|1240.0|15295.0|18909.0|3993.0|2147.0|2266.0|1895.0|6926.0|10560.0|9408.0|15460.0|6089.0|5018.0|2274.0|3126.0|5906.0|4995.0|2575.0|8437.0|11035.0|4016.0|1432.0|5114.0|7317.0|5321.0|6012.0|434.0|2584.0|13533.0|1858.0|3666.0|4552.0|3047.0|1282.0|4107.0|113503.0|28172.0|22985.0|6236.0|
||2018|17943.0|5851.0|5544.0|3422.0|2291.0|38092.0|16524.0|776.0|1060.0|7024.0|6600.0|7309.0|1288.0|6973.0|660.0|1369.0|2375.0|4040.0|1999.0|1618.0|21191.0|7131.0|18153.0|2807.0|2069.0|4805.0|1659.0|7113.0|5290.0|18556.0|3113.0|1109.0|3157.0|13898.0|2920.0|1978.0|10797.0|1531.0|1946.0|2697.0|2279.0|11175.0|1224.0|14089.0|17755.0|3721.0|1931.0|2086.0|1733.0|6410.0|9644.0|9350.0|14225.0|5628.0|5093.0|2244.0|3025.0|5705.0|4708.0|2385.0|7786.0|10078.0|3988.0|1369.0|4943.0|7073.0|4692.0|5567.0|361.0|2438.0|12951.0|1795.0|3334.0|4009.0|2895.0|1373.0|3902.0|106536.0|26009.0|22644.0|6415.0|
||2019|17685.0|5852.0|5319.0|3205.0|2204.0|38201.0|17362.0|798.0|1012.0|6873.0|6144.0|7255.0|1216.0|6757.0|585.0|1388.0|2157.0|3841.0|1839.0|1643.0|21196.0|6924.0|17362.0|2608.0|2083.0|4467.0|1502.0|6850.0|5399.0|19360.0|2873.0|1142.0|3184.0|14263.0|2869.0|2021.0|10639.0|1407.0|1837.0|2580.0|2135.0|11120.0|1237.0|13952.0|17680.0|3639.0|1915.0|1977.0|1608.0|6464.0|9618.0|8683.0|14019.0|5704.0|4985.0|2194.0|2993.0|5283.0|4571.0|2181.0|7473.0|9914.0|3724.0|1278.0|4791.0|7152.0|4546.0|5429.0|369.0|2331.0|12560.0|1798.0|3214.0|3895.0|2786.0|1152.0|3625.0|106710.0|25913.0|22189.0|6026.0|
|Cinsiyeti:Erkek ve Yaş:17|2017|20038.0|6649.0|6151.0|3598.0|2670.0|41668.0|18098.0|854.0|1206.0|7982.0|7051.0|8419.0|1398.0|7208.0|667.0|1516.0|2669.0|4014.0|2102.0|1936.0|22576.0|7972.0|18915.0|3141.0|2400.0|5173.0|1858.0|7723.0|5941.0|20246.0|3368.0|1373.0|3267.0|15258.0|3093.0|2279.0|11595.0|1856.0|2202.0|3036.0|2570.0|12181.0|1292.0|14634.0|19729.0|4064.0|2140.0|2413.0|1981.0|7211.0|10715.0|9411.0|15784.0|6404.0|5155.0|2459.0|3215.0|6291.0|5271.0|2512.0|7960.0|11227.0|3987.0|1367.0|5373.0|7333.0|5277.0|6275.0|415.0|2798.0|13631.0|1827.0|3853.0|4336.0|3239.0|1296.0|4206.0|114051.0|29307.0|22625.0|5978.0|
||2018|19397.0|6293.0|5891.0|3660.0|2501.0|41208.0|18004.0|905.0|1162.0|7685.0|6572.0|7979.0|1347.0|7205.0|674.0|1571.0|2627.0|4114.0|2101.0|1941.0|22967.0|7661.0|18687.0|3157.0|2346.0|5015.0|1676.0|7404.0|5832.0|20112.0|3367.0|1189.0|3202.0|15011.0|3101.0|2101.0|11478.0|1715.0|2090.0|2803.0|2539.0|11994.0|1276.0|15304.0|18997.0|4054.0|2155.0|2323.0|1957.0|6946.0|10610.0|9326.0|15509.0|6140.0|4959.0|2308.0|3195.0|6081.0|4983.0|2654.0|8564.0|11112.0|3922.0|1478.0|5211.0|7419.0|5361.0|6130.0|445.0|2600.0|13300.0|1940.0|3668.0|4528.0|3124.0|1506.0|4150.0|113770.0|28375.0|22737.0|6211.0|
||2019|17862.0|5788.0|5518.0|3419.0|2285.0|38899.0|16938.0|765.0|1049.0|7027.0|6462.0|7324.0|1300.0|6924.0|663.0|1412.0|2327.0|3958.0|2006.0|1656.0|21493.0|7153.0|18062.0|2823.0|2119.0|4778.0|1676.0|7062.0|5407.0|18564.0|3092.0|1168.0|3111.0|13815.0|2932.0|1956.0|10689.0|1580.0|1923.0|2665.0|2290.0|11264.0|1213.0|14231.0|17823.0|3761.0|1949.0|2059.0|1772.0|6456.0|9686.0|9231.0|14297.0|5706.0|4996.0|2251.0|2998.0|5538.0|4701.0|2356.0|7840.0|10109.0|3933.0|1360.0|4906.0|7188.0|4738.0|5607.0|351.0|2471.0|12817.0|1873.0|3268.0|4023.0|2943.0|1350.0|3796.0|108431.0|26282.0|22303.0|6376.0|
|Cinsiyeti:Erkek ve Yaş:2|2017|20037.0|6597.0|5653.0|3485.0|2109.0|40371.0|18575.0|687.0|929.0|7165.0|7176.0|6789.0|1104.0|7295.0|584.0|1404.0|2702.0|4279.0|1804.0|1563.0|22922.0|7156.0|21651.0|2747.0|2114.0|4559.0|1597.0|7209.0|5449.0|24243.0|2453.0|1094.0|2783.0|15915.0|2722.0|2164.0|11189.0|1341.0|1983.0|2753.0|2071.0|11636.0|1497.0|16472.0|18520.0|3617.0|1973.0|1877.0|1580.0|6207.0|10184.0|10399.0|14937.0|6068.0|5062.0|2072.0|2863.0|4713.0|4743.0|2138.0|7569.0|9046.0|3963.0|1170.0|4553.0|7909.0|3840.0|5316.0|536.0|2397.0|13983.0|1715.0|2896.0|3386.0|2916.0|1174.0|3492.0|121705.0|28884.0|30569.0|6922.0|
||2018|19258.0|6453.0|5451.0|3528.0|2008.0|40396.0|18661.0|658.0|1006.0|7253.0|6963.0|6825.0|1112.0|7152.0|598.0|1444.0|2728.0|4215.0|1857.0|1498.0|22742.0|7019.0|21724.0|2912.0|2171.0|4617.0|1670.0|7063.0|5455.0|23802.0|2448.0|1078.0|2729.0|16105.0|2717.0|2101.0|11143.0|1264.0|1928.0|2694.0|2104.0|11436.0|1501.0|16283.0|18389.0|3391.0|1906.0|1798.0|1637.0|6156.0|9981.0|10165.0|14657.0|5934.0|4891.0|2164.0|2920.0|4793.0|4735.0|2173.0|7688.0|8944.0|4098.0|1215.0|4629.0|8004.0|3894.0|5391.0|488.0|2243.0|13737.0|1900.0|2903.0|3260.0|2889.0|1342.0|3528.0|120239.0|28552.0|31318.0|6323.0|
||2019|18979.0|6470.0|5349.0|3442.0|2002.0|39851.0|18198.0|702.0|953.0|7328.0|6834.0|6794.0|1012.0|7115.0|539.0|1389.0|2662.0|4133.0|1848.0|1472.0|22876.0|6980.0|21880.0|2790.0|2029.0|4465.0|1563.0|6779.0|5440.0|23286.0|2343.0|985.0|2749.0|15390.0|2787.0|2108.0|10700.0|1374.0|1856.0|2693.0|1966.0|10922.0|1457.0|16395.0|18177.0|3279.0|1940.0|1753.0|1529.0|6042.0|9591.0|10337.0|14310.0|5870.0|5072.0|2115.0|2770.0|4636.0|4679.0|2117.0|7728.0|8880.0|4015.0|1258.0|4534.0|7964.0|3746.0|5291.0|495.0|2407.0|13929.0|1909.0|2867.0|3130.0|2959.0|1117.0|3335.0|119095.0|28014.0|31626.0|6892.0|
|Cinsiyeti:Erkek ve Yaş:3|2017|20255.0|6681.0|5545.0|3557.0|2171.0|41155.0|18469.0|760.0|990.0|7277.0|7208.0|7250.0|1166.0|7416.0|579.0|1492.0|2829.0|4149.0|1872.0|1582.0|22903.0|7327.0|21444.0|2752.0|2073.0|4726.0|1645.0|7182.0|5558.0|24732.0|2475.0|1081.0|2877.0|16580.0|2770.0|2247.0|11657.0|1405.0|1944.0|2891.0|1993.0|12112.0|1470.0|16332.0|19049.0|3533.0|2001.0|1816.0|1655.0|6422.0|10433.0|10462.0|15400.0|6012.0|5137.0|2256.0|2977.0|4872.0|5044.0|2166.0|7594.0|9252.0|4199.0|1218.0|4395.0|7754.0|4138.0|5424.0|506.0|2504.0|14043.0|1718.0|2959.0|3490.0|3035.0|1167.0|3678.0|121761.0|29353.0|30851.0|7106.0|
||2018|20087.0|6636.0|5692.0|3545.0|2136.0|40911.0|19044.0|689.0|943.0|7281.0|7010.0|6899.0|1136.0|7358.0|605.0|1446.0|2716.0|4256.0|1863.0|1577.0|23317.0|7190.0|21516.0|2805.0|2172.0|4630.0|1588.0|7110.0|5519.0|24235.0|2504.0|1022.0|2758.0|16244.0|2785.0|2145.0|11300.0|1394.0|1990.0|2673.0|2079.0|11691.0|1542.0|16620.0|18680.0|3621.0|2018.0|1951.0|1626.0|6244.0|10282.0|10393.0|15144.0|6196.0|4986.0|2109.0|2932.0|4921.0|4790.0|2211.0|7720.0|9270.0|3924.0|1216.0|4577.0|8055.0|3918.0|5432.0|522.0|2440.0|13849.0|1800.0|2964.0|3416.0|2989.0|1358.0|3538.0|120962.0|29064.0|30464.0|6938.0|
||2019|19291.0|6429.0|5452.0|3568.0|2017.0|41126.0|19131.0|649.0|1007.0|7312.0|6772.0|6923.0|1074.0|7143.0|591.0|1419.0|2679.0|4148.0|1916.0|1503.0|22985.0|7100.0|21652.0|2906.0|2161.0|4528.0|1652.0|6926.0|5543.0|23974.0|2435.0|1084.0|2713.0|16133.0|2719.0|2143.0|11111.0|1279.0|1939.0|2653.0|2090.0|11576.0|1512.0|16528.0|18539.0|3362.0|1901.0|1761.0|1655.0|6218.0|10043.0|10125.0|14806.0|6029.0|4814.0|2202.0|2863.0|4719.0|4766.0|2148.0|7815.0|9027.0|4039.0|1220.0|4544.0|8100.0|3964.0|5408.0|465.0|2260.0|13699.0|1993.0|2845.0|3263.0|2958.0|1253.0|3482.0|121126.0|28672.0|31100.0|6297.0|
|Cinsiyeti:Erkek ve Yaş:4|2017|19726.0|6305.0|5478.0|3473.0|2142.0|39812.0|18047.0|727.0|996.0|7101.0|6826.0|7040.0|1064.0|7063.0|552.0|1421.0|2647.0|3953.0|1867.0|1518.0|22235.0|7080.0|20312.0|2779.0|2163.0|4448.0|1629.0|6913.0|5262.0|23718.0|2449.0|1060.0|2823.0|15330.0|2758.0|2235.0|11279.0|1353.0|1973.0|2732.0|2091.0|11650.0|1408.0|15404.0|18179.0|3453.0|1885.0|1827.0|1627.0|6068.0|10219.0|10056.0|14610.0|5972.0|4872.0|2141.0|2916.0|4792.0|4927.0|2140.0|7238.0|9115.0|3911.0|1149.0|4403.0|7661.0|4024.0|5173.0|448.0|2518.0|13798.0|1705.0|2795.0|3613.0|2919.0|1126.0|3626.0|116419.0|28013.0|29113.0|6738.0|
||2018|20319.0|6698.0|5618.0|3631.0|2169.0|41870.0|18898.0|747.0|990.0|7398.0|6978.0|7354.0|1212.0|7405.0|581.0|1518.0|2833.0|4114.0|1905.0|1617.0|23375.0|7382.0|21429.0|2823.0|2083.0|4812.0|1631.0|7134.0|5694.0|24665.0|2519.0|1003.0|2857.0|16868.0|2822.0|2200.0|11724.0|1413.0|1943.0|2841.0|2039.0|12168.0|1557.0|16454.0|19141.0|3583.0|2030.0|1854.0|1718.0|6467.0|10566.0|10483.0|15571.0|6065.0|5051.0|2282.0|3044.0|5038.0|5091.0|2227.0|7776.0|9486.0|4170.0|1267.0|4415.0|7883.0|4164.0|5560.0|511.0|2497.0|13869.0|1806.0|2958.0|3509.0|3103.0|1373.0|3745.0|121110.0|29536.0|30782.0|7106.0|
||2019|20113.0|6556.0|5647.0|3573.0|2136.0|41772.0|19549.0|674.0|932.0|7361.0|6789.0|6933.0|1123.0|7337.0|602.0|1447.0|2654.0|4186.0|1873.0|1580.0|23617.0|7224.0|21455.0|2797.0|2141.0|4543.0|1583.0|7031.0|5640.0|24414.0|2449.0|1030.0|2755.0|16277.0|2784.0|2133.0|11201.0|1402.0|1981.0|2610.0|2057.0|11801.0|1537.0|16804.0|18787.0|3613.0|2029.0|1934.0|1644.0|6255.0|10371.0|10345.0|15293.0|6301.0|4910.0|2160.0|2898.0|4808.0|4832.0|2153.0|7781.0|9346.0|3861.0|1228.0|4496.0|8180.0|3960.0|5476.0|493.0|2451.0|13770.0|1873.0|2915.0|3397.0|3049.0|1191.0|3471.0|121940.0|29216.0|30266.0|6913.0|
|Cinsiyeti:Erkek ve Yaş:5|2017|19440.0|6250.0|5487.0|3446.0|2127.0|39153.0|18340.0|706.0|950.0|7316.0|6841.0|7003.0|1097.0|7022.0|579.0|1369.0|2513.0|3933.0|1814.0|1578.0|22570.0|7037.0|20123.0|2630.0|2159.0|4563.0|1583.0|6925.0|5437.0|23249.0|2454.0|1100.0|2756.0|15725.0|2725.0|2082.0|11222.0|1233.0|1876.0|2871.0|2109.0|11827.0|1267.0|15325.0|18324.0|3531.0|1880.0|1693.0|1605.0|6496.0|10142.0|9895.0|14933.0|6193.0|4796.0|2097.0|2922.0|4883.0|4909.0|1978.0|7263.0|9143.0|3817.0|1227.0|4640.0|7622.0|4044.0|5160.0|404.0|2476.0|13306.0|1710.0|2957.0|3665.0|2910.0|1210.0|3682.0|115561.0|28434.0|28295.0|6457.0|
||2018|19710.0|6358.0|5521.0|3510.0|2197.0|40444.0|18515.0|727.0|984.0|7205.0|6688.0|7157.0|1087.0|7086.0|567.0|1461.0|2643.0|3888.0|1929.0|1551.0|22670.0|7129.0|20240.0|2833.0|2181.0|4509.0|1614.0|6857.0|5347.0|23711.0|2536.0|969.0|2813.0|15563.0|2783.0|2206.0|11304.0|1371.0|1989.0|2676.0|2097.0|11693.0|1454.0|15515.0|18265.0|3461.0|1900.0|1888.0|1672.0|6108.0|10289.0|10021.0|14685.0|6110.0|4791.0|2182.0|2976.0|4911.0|4970.0|2160.0|7404.0|9348.0|3887.0|1210.0|4407.0|7841.0|4069.0|5272.0|452.0|2512.0|13650.0|1794.0|2855.0|3610.0|2974.0|1276.0|3672.0|115883.0|28145.0|29045.0|6753.0|
||2019|20307.0|6647.0|5689.0|3635.0|2199.0|42552.0|19509.0|741.0|978.0|7465.0|6813.0|7435.0|1201.0|7368.0|582.0|1531.0|2812.0|4047.0|1936.0|1611.0|23633.0|7436.0|21344.0|2867.0|2099.0|4720.0|1640.0|7028.0|5828.0|24804.0|2513.0|985.0|2850.0|16899.0|2861.0|2197.0|11681.0|1407.0|1931.0|2765.0|2002.0|12305.0|1536.0|16704.0|19267.0|3513.0|2038.0|1845.0|1740.0|6484.0|10616.0|10437.0|15727.0|6189.0|4984.0|2298.0|3006.0|4952.0|5104.0|2147.0|7837.0|9521.0|4106.0|1268.0|4329.0|7976.0|4255.0|5585.0|464.0|2508.0|13825.0|1899.0|2913.0|3478.0|3131.0|1211.0|3667.0|122164.0|29705.0|30540.0|7070.0|
|Cinsiyeti:Erkek ve Yaş:6|2017|18590.0|6222.0|5410.0|3471.0|2174.0|38811.0|17515.0|693.0|913.0|6875.0|6599.0|6905.0|1165.0|6741.0|550.0|1348.0|2520.0|3781.0|1907.0|1534.0|21536.0|6713.0|19397.0|2584.0|2154.0|4475.0|1570.0|6714.0|5349.0|22122.0|2460.0|1101.0|2710.0|14987.0|2735.0|2115.0|11207.0|1376.0|1895.0|2710.0|2084.0|11595.0|1234.0|14824.0|17773.0|3505.0|1811.0|1765.0|1573.0|6193.0|9826.0|9293.0|14333.0|5920.0|4659.0|2100.0|2744.0|4832.0|4874.0|2088.0|7105.0|8919.0|3741.0|1172.0|4431.0|7327.0|4068.0|5304.0|421.0|2337.0|12689.0|1644.0|2992.0|3766.0|2917.0|1139.0|3589.0|110268.0|27136.0|27197.0|6354.0|
||2018|19453.0|6286.0|5569.0|3516.0|2153.0|39738.0|18831.0|707.0|957.0|7423.0|6709.0|7139.0|1130.0|6993.0|566.0|1386.0|2516.0|3855.0|1883.0|1612.0|23019.0|7072.0|20036.0|2695.0|2183.0|4608.0|1571.0|6825.0|5512.0|23175.0|2501.0|958.0|2715.0|15985.0|2763.0|2073.0|11238.0|1264.0|1889.0|2813.0|2120.0|11906.0|1291.0|15535.0|18379.0|3539.0|1920.0|1738.0|1634.0|6444.0|10246.0|9896.0|15066.0|6333.0|4746.0|2119.0|2976.0|5022.0|4962.0|2041.0|7384.0|9301.0|3762.0|1250.0|4653.0|7776.0|4075.0|5270.0|413.0|2498.0|13150.0|1817.0|3003.0|3655.0|2956.0|1359.0|3736.0|115300.0|28632.0|28231.0|6464.0|
||2019|19752.0|6300.0|5519.0|3526.0|2193.0|41138.0|19051.0|707.0|981.0|7263.0|6527.0|7219.0|1098.0|7076.0|548.0|1454.0|2606.0|3811.0|1950.0|1533.0|22964.0|7189.0|20122.0|2834.0|2171.0|4426.0|1613.0|6741.0|5479.0|23817.0|2505.0|929.0|2784.0|15577.0|2801.0|2211.0|11264.0|1368.0|1976.0|2614.0|2076.0|11794.0|1430.0|15816.0|18366.0|3433.0|1929.0|1877.0|1671.0|6136.0|10400.0|9937.0|14912.0|6267.0|4656.0|2196.0|2926.0|4789.0|5045.0|2126.0|7508.0|9421.0|3823.0|1209.0|4324.0|7921.0|4052.0|5284.0|452.0|2520.0|13635.0|1887.0|2801.0|3599.0|3037.0|1138.0|3585.0|116943.0|28331.0|28735.0|6724.0|
|Cinsiyeti:Erkek ve Yaş:7|2017|19087.0|6230.0|5425.0|3452.0|2117.0|39034.0|17969.0|712.0|956.0|6881.0|6628.0|6994.0|1159.0|6842.0|563.0|1376.0|2406.0|3922.0|1852.0|1610.0|21939.0|6914.0|18952.0|2605.0|1971.0|4543.0|1545.0|6559.0|5101.0|21985.0|2594.0|1071.0|2652.0|15141.0|2729.0|2006.0|11195.0|1345.0|1839.0|2825.0|2155.0|11592.0|1331.0|14958.0|17841.0|3564.0|1812.0|1798.0|1589.0|6487.0|9830.0|9282.0|14551.0|6094.0|4966.0|2152.0|2891.0|4949.0|5045.0|2102.0|7308.0|9263.0|3765.0|1206.0|4516.0|7240.0|4256.0|5478.0|359.0|2396.0|12880.0|1714.0|3070.0|3912.0|2754.0|1172.0|3625.0|112890.0|26892.0|26623.0|6386.0|
||2018|18530.0|6260.0|5468.0|3511.0|2194.0|39412.0|17899.0|695.0|901.0|6912.0|6472.0|6963.0|1187.0|6735.0|562.0|1358.0|2526.0|3763.0|1956.0|1563.0|21901.0|6768.0|19329.0|2648.0|2186.0|4564.0|1550.0|6718.0|5446.0|22059.0|2527.0|1007.0|2687.0|15207.0|2760.0|2106.0|11218.0|1420.0|1901.0|2684.0|2100.0|11649.0|1280.0|14900.0|17857.0|3509.0|1844.0|1789.0|1589.0|6216.0|9904.0|9280.0|14425.0|6031.0|4629.0|2149.0|2806.0|4992.0|4901.0|2149.0|7249.0|9081.0|3697.0|1224.0|4484.0|7446.0|4085.0|5376.0|437.0|2343.0|12605.0|1715.0|3028.0|3770.0|2968.0|1297.0|3628.0|109908.0|27277.0|27163.0|6358.0|
||2019|19510.0|6255.0|5577.0|3516.0|2152.0|40360.0|19307.0|688.0|950.0|7459.0|6600.0|7180.0|1124.0|7015.0|564.0|1376.0|2480.0|3791.0|1922.0|1613.0|23266.0|7138.0|19969.0|2707.0|2176.0|4522.0|1578.0|6721.0|5638.0|23244.0|2493.0|962.0|2721.0|15967.0|2775.0|2069.0|11178.0|1271.0|1877.0|2755.0|2105.0|11999.0|1293.0|15710.0|18561.0|3501.0|1940.0|1742.0|1668.0|6512.0|10312.0|9850.0|15223.0|6395.0|4676.0|2160.0|2963.0|4922.0|5001.0|1997.0|7480.0|9382.0|3707.0|1261.0|4567.0|7891.0|4125.0|5297.0|409.0|2522.0|13115.0|1891.0|2918.0|3631.0|2989.0|1241.0|3671.0|116327.0|28790.0|27974.0|6435.0|
|Cinsiyeti:Erkek ve Yaş:8|2017|19281.0|5864.0|5540.0|3662.0|2182.0|40138.0|18025.0|730.0|934.0|7073.0|6372.0|6950.0|1151.0|6875.0|549.0|1378.0|2400.0|3818.0|1898.0|1607.0|22143.0|6995.0|18388.0|2741.0|2054.0|4657.0|1489.0|6518.0|5360.0|22315.0|2599.0|1102.0|2739.0|15375.0|2876.0|2012.0|11328.0|1443.0|1943.0|2683.0|2121.0|11889.0|1267.0|15199.0|17900.0|3496.0|1861.0|1834.0|1535.0|6460.0|9845.0|8950.0|14667.0|6207.0|4792.0|2180.0|3001.0|5122.0|5016.0|2228.0|7353.0|9394.0|3808.0|1287.0|4565.0|7465.0|4305.0|5562.0|368.0|2388.0|12946.0|1763.0|3216.0|4012.0|2873.0|1205.0|3769.0|112681.0|27829.0|25911.0|6346.0|
||2018|19048.0|6255.0|5478.0|3501.0|2160.0|39680.0|18354.0|711.0|949.0|6973.0|6505.0|7082.0|1173.0|6835.0|585.0|1397.0|2403.0|3915.0|1919.0|1633.0|22305.0|6960.0|18880.0|2636.0|1984.0|4603.0|1525.0|6529.0|5233.0|21965.0|2657.0|961.0|2644.0|15371.0|2760.0|2000.0|11216.0|1386.0|1864.0|2799.0|2196.0|11643.0|1390.0|15002.0|17928.0|3570.0|1836.0|1852.0|1622.0|6497.0|9878.0|9300.0|14639.0|6157.0|4921.0|2165.0|2942.0|5113.0|5056.0|2143.0|7432.0|9412.0|3728.0|1260.0|4568.0|7355.0|4265.0|5562.0|369.0|2411.0|12764.0|1811.0|3098.0|3922.0|2819.0|1328.0|3634.0|112680.0|26994.0|26504.0|6409.0|
||2019|18541.0|6213.0|5484.0|3512.0|2203.0|39952.0|18422.0|689.0|897.0|6971.0|6353.0|7011.0|1184.0|6719.0|556.0|1366.0|2494.0|3731.0|2014.0|1536.0|22155.0|6805.0|19258.0|2664.0|2191.0|4482.0|1567.0|6637.0|5523.0|22124.0|2492.0|1037.0|2653.0|15257.0|2801.0|2115.0|11128.0|1417.0|1888.0|2640.0|2103.0|11711.0|1286.0|15086.0|17961.0|3499.0|1838.0|1785.0|1612.0|6237.0|9946.0|9227.0|14537.0|6132.0|4573.0|2168.0|2774.0|4919.0|4926.0|2126.0|7274.0|9120.0|3672.0|1211.0|4441.0|7544.0|4126.0|5391.0|435.0|2323.0|12623.0|1778.0|2973.0|3730.0|3005.0|1164.0|3545.0|110930.0|27406.0|26926.0|6339.0|
|Cinsiyeti:Erkek ve Yaş:9|2017|20279.0|6316.0|5652.0|3723.0|2290.0|41522.0|18545.0|669.0|972.0|7542.0|6321.0|7253.0|1203.0|7239.0|561.0|1407.0|2435.0|3837.0|1992.0|1571.0|22700.0|7552.0|19266.0|2814.0|2210.0|4773.0|1551.0|6641.0|5527.0|22889.0|2672.0|1156.0|2918.0|15861.0|3011.0|1974.0|11870.0|1507.0|1948.0|2760.0|2258.0|12579.0|1330.0|15644.0|18666.0|3711.0|1896.0|2006.0|1711.0|6694.0|10189.0|9437.0|15001.0|6216.0|4829.0|2191.0|3115.0|5382.0|5254.0|2152.0|7558.0|9794.0|3900.0|1245.0|4808.0|7495.0|4385.0|5528.0|375.0|2466.0|13126.0|1737.0|3310.0|4178.0|2915.0|1220.0|3750.0|115608.0|28724.0|26046.0|6348.0|
